Suburb,Area,Frequency,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY
Waipukurau,Palmerston,Fortnightly,FALSE,TRUE,FALSE,FALSE,FALSE
Wairarapa,Wellington,Fortnightly ,FALSE,FALSE,TRUE,FALSE,FALSE
Waitakere,Auckland,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Waitara,Palmerston,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Waiuku,Auckland,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Warkworth,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Waterview ,Auckland,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Wellington Central,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,TRUE
Wellington Hospital,Wellington,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Wellsford,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Whakatane,Waikato/Hamilton,4-Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Whanganui,Palmerston,Fortnightly,FALSE,FALSE,TRUE,FALSE,FALSE
Whenuapai,Auckland,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Whitby,Wellington,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Whitford,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Wiri,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Woodville,Palmerston,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
